date,ticker,side,price,shares,value
2020-04-01,ANET,BUY,12.048125267028809,1.1857209291149151,14.285714285714283
2020-04-01,CBOE,BUY,81.64384460449219,0.17497601141786823,14.285714285714285
2020-04-01,GDDY,BUY,52.86000061035156,0.27025565873559065,14.285714285714285
2020-04-01,ICLR,BUY,132.1999969482422,0.10806138135772654,14.285714285714285
2020-04-01,KLAC,BUY,123.30379486083984,0.11585786391924988,14.285714285714285
2020-04-01,NTES,BUY,58.578521728515625,0.24387290536149014,14.285714285714285
2020-04-01,UNH,BUY,218.9632110595703,0.06524253191476885,14.285714285714285
2020-04-01,ANET,BUY,12.048125267028809,1.4743844374373094e-16,1.7763568394002503e-15
2020-04-02,UNH,SELL,221.84185791015625,0.007740854300940481,1.71724549993246
2020-04-02,KLAC,SELL,124.08141326904297,0.013052144200831067,1.619528498630462
2020-04-02,ICLR,SELL,129.7899932861328,0.009777386792134348,1.2690069661070407
2020-04-02,NTES,SELL,59.98057556152344,0.031199404392528607,1.8713582326405884
2020-04-02,CBOE,SELL,85.52326965332031,0.02582036002016372,2.208241612550273
2020-04-02,ANET,SELL,12.131250381469727,0.13419873695181245,1.6279984788394302
2020-04-02,GDDY,SELL,56.2400016784668,0.04343704895438477,2.442899706102244
2020-04-03,ANET,SELL,12.164999961853027,0.02793877467968704,0.33987519291261314
2020-04-03,ICLR,SELL,130.86000061035156,0.003129690908542174,0.4095513542020406
2020-04-03,NTES,SELL,58.871971130371094,0.0011655117585337702,0.06861597460050817
2020-04-03,MORN,BUY,107.17247009277344,0.11618554861953086,12.451892234639145
2020-04-03,CBOE,BUY,82.97711181640625,0.0009085284955411076,0.07538707056290583
2020-04-03,GDDY,BUY,52.06999969482422,0.01231894173825125,0.6414472925513
2020-04-03,KLAC,BUY,119.86540222167969,0.0010765682800025378,0.12904328990160607
2020-04-03,UNH,BUY,211.73887634277344,0.0013060975558169137,0.2765516288627161
2020-04-27,MORN,SELL,137.44435119628906,0.019344175126298397,2.658747599661476
2020-04-27,GDDY,BUY,67.48999786376953,2.632029775709694e-17,1.7763568394002505e-15
2020-04-27,AMAT,BUY,48.46492385864258,0.2746377934598006,13.310299748734844
2020-04-27,NTES,SELL,65.0743637084961,0.006968152165550877,0.4534480683972024
