ticker,name,logo_file
AMAT,"Applied Materials, Inc.",logo_AMAT.png
ANET,Arista Networks Inc,logo_ANET.png
CBOE,"Cboe Global Markets, Inc.",logo_CBOE.png
CVCO,"Cavco Industries, Inc.",logo_CVCO.png
GDDY,GoDaddy Inc.,logo_GDDY.png
ICLR,ICON Public Limited Company,logo_ICLR.png
KLAC,KLA Corporation,logo_KLAC.png
MORN,"Morningstar, Inc.",logo_MORN.png
NTES,"NetEase, Inc.",logo_NTES.png
TTWO,"Take-Two Interactive Software, Inc.",logo_TTWO.png
UNH,UnitedHealth Group Incorporated,logo_UNH.png
CBRE,"CBRE Group, Inc.",logo_CBRE.png
MEDP,"Medpace Holdings, Inc.",logo_MEDP.png
AVGO,Broadcom Inc.,logo_AVGO.png
HOLX,"Hologic, Inc.",logo_HOLX.png
IT,"Gartner, Inc.",logo_IT.png
LOGI,Logitech International S.A.,logo_LOGI.png
PANW,"Palo Alto Networks, Inc.",logo_PANW.png
ULTA,"Ulta Beauty, Inc.",logo_ULTA.png
GMAB,Genmab A/S,logo_GMAB.png
INCY,Incyte Corporation,logo_INCY.png
LH,Labcorp Holdings Inc.,logo_LH.png
OLLI,"Ollie's Bargain Outlet Holdings, Inc.",logo_OLLI.png
LITE,Lumentum Holdings Inc.,logo_LITE.png
RJF,"Raymond James Financial, Inc.",logo_RJF.png
BMY,Bristol-Myers Squibb Company,logo_BMY.png
NVR,"NVR, Inc.",logo_NVR.png
QRVO,"Qorvo, Inc.",logo_QRVO.png
REGN,"Regeneron Pharmaceuticals, Inc.",logo_REGN.png
TROW,"T. Rowe Price Group, Inc.",logo_TROW.png
CROX,"Crocs, Inc.",logo_CROX.png
DBX,"Dropbox, Inc.",logo_DBX.png
ON,ON Semiconductor Corporation,logo_ON.png
META,"Meta Platforms, Inc.",logo_META.png
SNEX,StoneX Group Inc.,logo_SNEX.png
TER,"Teradyne, Inc.",logo_TER.png
WSM,"Williams-Sonoma, Inc.",logo_WSM.png
ABBV,AbbVie Inc.,logo_ABBV.png
ASML,ASML Holding N.V.,logo_ASML.png
EXEL,"Exelixis, Inc.",logo_EXEL.png
EXPD,"Expeditors International of Washington, Inc.",logo_EXPD.png
MCHP,Microchip Technology Incorporated,logo_MCHP.png
NRG,"NRG Energy, Inc.",logo_NRG.png
PFE,Pfizer Inc.,logo_PFE.png
PYPL,"PayPal Holdings, Inc.",logo_PYPL.png
VRTX,Vertex Pharmaceuticals Incorporated,logo_VRTX.png
Z,"Zillow Group, Inc.",logo_Z.png
ZG,"Zillow Group, Inc.",logo_ZG.png
AAPL,Apple Inc.,logo_AAPL.png
ACN,Accenture plc,logo_ACN.png
ADBE,Adobe Inc.,logo_ADBE.png
CCEP,Coca-Cola Europacific Partners PLC,logo_CCEP.png
ETSY,"Etsy, Inc.",logo_ETSY.png
GOOG,Alphabet Inc.,logo_GOOG.png
GOOGL,Alphabet Inc.,logo_GOOGL.png
HUM,Humana Inc.,logo_HUM.png
LPLA,LPL Financial Holdings Inc.,logo_LPLA.png
LRCX,Lam Research Corporation,logo_LRCX.png
LSTR,"Landstar System, Inc.",logo_LSTR.png
CALM,"Cal-Maine Foods, Inc.",logo_CALM.png
CHRW,"C.H. Robinson Worldwide, Inc.",logo_CHRW.png
LYV,"Live Nation Entertainment, Inc.",logo_LYV.png
QCOM,QUALCOMM Incorporated,logo_QCOM.png
CNC,Centene Corporation,logo_CNC.png
MELI,"MercadoLibre, Inc.",logo_MELI.png
MOH,"Molina Healthcare, Inc.",logo_MOH.png
ORLY,"O'Reilly Automotive, Inc.",logo_ORLY.png
POOL,Pool Corporation,logo_POOL.png
DOCU,"DocuSign, Inc.",logo_DOCU.png
ENPH,"Enphase Energy, Inc.",logo_ENPH.png
PDD,PDD Holdings Inc.,logo_PDD.png
PHM,"PulteGroup, Inc.",logo_PHM.png
DECK,Deckers Outdoor Corporation,logo_DECK.png
FTNT,"Fortinet, Inc.",logo_FTNT.png
DOOO,BRP Inc.,logo_DOOO.png
IDCC,"InterDigital, Inc.",logo_IDCC.png
OMAB,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",logo_OMAB.png
PEGA,Pegasystems Inc.,logo_PEGA.png
ZM,Zoom Communications Inc.,logo_ZM.png
CRM,"Salesforce, Inc.",logo_CRM.png
JD,"JD.com, Inc.",logo_JD.png
QLYS,"Qualys, Inc.",logo_QLYS.png
COF,Capital One Financial Corporation,logo_COF.png
EPAM,"EPAM Systems, Inc.",logo_EPAM.png
GNRC,Generac Holdings Inc.,logo_GNRC.png
LULU,lululemon athletica inc.,logo_LULU.png
NICE,NICE Ltd.,logo_NICE.png
PPC,Pilgrim's Pride Corporation,logo_PPC.png
SCHW,The Charles Schwab Corporation,logo_SCHW.png
PRIM,Primoris Services Corporation,logo_PRIM.png
SYF,Synchrony Financial,logo_SYF.png
BKNG,Booking Holdings Inc.,logo_BKNG.png
FRHC,Freedom Holding Corp.,logo_FRHC.png
RYAAY,Ryanair Holdings plc,logo_RYAAY.png
UTHR,United Therapeutics Corporation,logo_UTHR.png
WIX,Wix.com Ltd.,logo_WIX.png
